text,label,emotion
No me siento muy interesado en eso.,1,alegria
me siento humillado,0,tristeza
"Me siento rebelde hoy, así que dejaré esto como una advertencia sobre lo radical que puedo ser.",3,ira
"Quería hacerlo sentir especial en su cumpleaños, especialmente porque iba a pasar un día muuuy largo en el trabajo.",1,alegria
He sostenido desde el principio que siento que los McCann son inocentes de cualquier cosa que tenga que ver con la desaparición de su propia hija.,1,alegria
siento su dolor su sufrimiento,0,tristeza
me siento infeliz y raro,0,tristeza
"Ya no tenía que caminar por los callejones de los guetos de mi ciudad, lentamente aburguesados, para encontrar a un artista con una blusa que tomaba fotos desnuda para hacerme sentir que mi cuerpo era aceptable y, lamentablemente, no único.",1,alegria
Me siento desanimado porque confío en que la gente trata de querer conocerme para no verme y pensar que soy aburrido o algo así.,0,tristeza
"He estado anticipando, así que estoy algo sorprendido, inseguro y hasta cierto punto molesto por su presencia en mi experiencia diaria, especialmente a la luz del hecho de que en otros momentos me he sentido más alegre y confiado que nunca en mis habilidades como ser humano amoro",1,alegria
Me siento como si estuviera en un torbellino y al siguiente estoy tratando de no ser demasiado impaciente mientras espero.,3,ira
Siento que soy lo suficientemente fuerte como para soportar este dolor pensando en lo mal que me hiciste,1,alegria
Nunca había leído las publicaciones. Nunca habría gastado la energía emocional y mental para discutir con ellas en mi cabeza o sentirme irritada por ellas.,3,ira
Estaba en Seúl y no pude evitar sentir celos.,3,ira
Me siento tan enojado por un viejo amigo y algunos amigos.,3,ira
me siento impotente,4,miedo
Me siento agotado o me siento lleno de energía.,0,tristeza
Siento que se está abusando de ese hecho,0,tristeza
mis compañeros de cuarto me faltan consideración,3,ira
Generalmente soy una persona bastante feliz y positiva. Hay momentos en los que los nervios aparecen y no me siento tan feliz y sonriente.,1,alegria
Siento que un recuerdo de lo extraño de justin aryiku cae en la última categoría,4,miedo
"No me sentí desanimado ni deprimido, aunque siempre hay desafíos, sin duda.",0,tristeza
"Sólo quiero lo mejor para ese chico, tal vez realmente pueda dejar de sentirme como una perra sin corazón.",3,ira
Me siento resentido y realmente trabajo ese resentimiento hasta que exploto.,3,ira
Siento que los vestidos de fiesta tan hermosos no existían hace cinco años,1,alegria
Estoy sentado en el sofá pensando en lo miserable que me siento por disfrutar demasiada comida deliciosa.,1,alegria
Siento que estoy con las chicas geniales pero que simplemente me toleran porque les pago.,1,alegria
Me encanta sacar las decoraciones y sentirme festiva. Estoy feliz de guardarlas.,1,alegria
Elegí vivir mi vida como una persona normal que tiene sentimientos y anhelos. He hablado por mí mismo. He sido fiel a mí mismo y he decidido ser tratado con dignidad y respeto.,2,amor
simplemente me siento cansado,0,tristeza
Me siento tan arrepentido y mal que llamé,0,tristeza
No siento ninguna obligación de aporrear a los espectadores con lo fabuloso que quiero que piensen que soy debido a las etiquetas de diseñador que pude adquirir.,1,alegria
"Me olvidé de tomarlo ayer, así que esta mañana tomé dos. Ahora me siento muy mal.",1,alegria
Me quedé con mi integridad y mi dignidad intactas pero sintiéndome cabreado.,3,ira
"No siempre recuerdo hacer esto, pero cuando me siento malvada y deprimida en el mundo, si me detengo y me tomo un momento para respirar y pensar en todo, estoy agradecida por la alegría que regresa.",3,ira
Empecé a sentirme aceptado por Gaia en sus propios términos.,2,amor
me siento travieso de ratbagx,2,amor
Me siento desalmado ahora me siento aburrido y ya no creo en el amor,3,ira
Me siento inútil por dejar que esto suceda,0,tristeza
Siempre me siento abrumado por una mezcla de sentimientos mientras escucho estas canciones.,5,sorpresa
A propósito puse esa afirmación en negativo para mostrar que ahora me siento tímido con las armas.,4,miedo
Tengo la sensación de que allí también adquirí algunas de las habilidades artísticas.,1,alegria
Pasé el miércoles sintiéndome un poco arrepentido de no haber intentado regatear,0,tristeza
"Me sentí más satisfecho después de comer comidas más pequeñas y ricas en nutrientes que después de comer una gran porción de espaguetis y albóndigas con pan italiano y mantequilla, una de mis comidas favoritas anteriormente.",1,alegria
vuelvo a mi pueblo siento que estoy muy solo,0,tristeza
"Dudo mucho que veamos a Jean y Scott jóvenes, pero considerando que esto sería limitado y no hay razón para tener a estos actores en películas futuras, ya que se anunció que pasaremos a Aoa en la próxima película, parece una oportunidad perdida.",0,tristeza
"Vi que recibí un mensaje directo en Twitter de un antiguo amigo, Jeff, con quien ya no me siento amigable.",1,alegria
"Tengo ganas de copiar al chico guapo, di sí, muy divertido.",1,alegria
"No quiero que te sientas excluido, fiel lector, yo también te amo.",2,amor
"Tengo mucha vida y sigo murmurando para mí mismo, sigo nadando, sigo nadando y siento todo tipo de risas cuando lo digo.",1,alegria
me siento horrible,0,tristeza
"Todavía quería mantener mi maquillaje al mínimo. Quería que todo, excepto mis labios, se viera natural, así que elijo un delineador de ojos súper fino, rizador de pestañas y base en polvo. Siento que es un look lindo y elegante.",1,alegria
Estoy seguro de que podría convertirse en una pieza de teatro emocionante.,1,alegria
Siento que hasta ahora ella no lo ha apoyado increíblemente en su momento de necesidad.,2,amor
