text,label,emotion
Me siento con mis preciosos brazos de niña envuelta tan bien alrededor de mi cuello,1,alegria
Voy a extrañar correr y poner mi mano sobre tu vientre para sentir mi dulce patada de Holli Reese,2,amor
Siento que los estudiantes en este salón de clases son muy hostiles hacia cualquier muestra de intelecto al igual que el resto de la sociedad.,3,ira
Me sentía como una rata conmocionada en un experimento de caja de skinner,5,sorpresa
"Me siento muy triunfante, otro mini gol personal logrado",1,alegria
"No recomiendo llevar puñados de joyas de oro en sus mochilas o tenerlo en su persona, creo que son necesarias algunas piezas clave de joyas divertidas para mantenerlo y sentirse lindo en el camino.",1,alegria
Me encuentro sintiéndome ansioso al ver lo que todos los demás están haciendo y sintiendo que no estoy a la altura de mis compañeros o estoy estancado.,4,miedo
Estaba tan irritado porque sabía que no estaba embarazada y estaba perdiendo el tiempo y me sentía mal,0,tristeza
Estoy agradecido de tener un sistema de apoyo sólido tanto interna como externamente en el que pueda confiar cuando me siento incierto y débil.,4,miedo
Me he sentido muy suave esta noche,1,alegria
No estoy seguro de qué me haría sentir contento si algo,1,alegria
"Siento que me apoyo con mis amigos y sus esfuerzos y no hago eso con el único propósito de que lo devuelvan, pero a menudo me encuentro pensando por qué tengo que pedir apoyo en este momento.",2,amor
"Tiendo a pensar que contribuyó un poco a mi inteligencia media y me hizo entender y sentir las cosas de una manera inteligente y sensata en el campo de las artes visuales, especialmente, pero siempre siento que estoy perdiendo eso cada vez más.",1,alegria
"Sé que acabo de terminar un gran regalo aquí en la musa, pero todavía me siento bastante generoso.",2,amor
Me siento temeroso de estar cerca de ellos,4,miedo
"Lo siento por el resto de nosotros en Second Life que entiende que sin más apoyo para los usuarios por primera vez, nuestro mundo continuará con su lenta espiral de muerte",0,tristeza
Pronto podría sentirme bastante rechazado,0,tristeza
Me siento agravado escuchando a Phoenix perdido y encontrado,3,ira
"Me siento demasiado egoísta para hablar de ti con cualquier otra persona tiroidea porque no quiero que piensen que soy dramático y llorón cuando realmente es difícil para ellos entender que sí, alguien puede verse bien y todavía se siente terrible.",3,ira
Me encuentro confundido cuando no siento dolor y cuando mi dolor se resigna comprendiendo un recuerdo cálido de una chica hermosa encerrada para que nadie se arruine para contaminar,0,tristeza
Me siento tan perturbado por eso,0,tristeza
Habiendo recibido una oferta para hacer el trabajo de posgrado,1,alegria
