[gold=amor | pred=tristeza] Tuve ese tipo de sentimiento pero lo ignoré
[gold=amor | pred=tristeza] Siento como si un videojuego se hubiera apoderado de mi vida y estoy condenado a repetir el mismo conjunto de circunstancias una y otra vez hasta que recopile todos los conocimientos y tesoros de poderes especiales para finalmente avanzar al siguiente nivel.
[gold=alegría | pred=tristeza] Me siento particularmente optimista hoy y tengo todas las razones para esperar cosas increíbles en
[gold=amor | pred=tristeza] Me siento rebelde. Me gustaría poder hacer cosas legalmente. No puedo fumar, beber ni conducir.
[gold=amor | pred=tristeza] Me siento muy perturbado por toneladas de cosas.
[gold=amor | pred=tristeza] Tengo la esperanza de que el sentimiento que tengo sea en realidad emoción, un amigo añorado hace mucho tiempo.
[gold=alegría | pred=tristeza] Realmente no fui a buscarlo, pero definitivamente puedo ver de dónde viene el barco de Enjorlas Marius, aunque lamentablemente siento que es mayoritariamente unilateral y que Marius no es más que un colegial rico que sigue sus caprichos sin pensar en las consecuencias.
[gold=amor | pred=tristeza] Me siento muy sucio, pero después de pasar un día en el mk, muéstramelo y un amigo decidió que los dos jugadores serían titulares entre nosotros. Afortunadamente para ambos, me gustó Everblight y a él le gustó el círculo, tal vez un poco demasiado, así que todo salió bien.
[gold=alegría | pred=tristeza] Siento que algunos de ustedes tienen dolores y no se imaginan apasionarse por el grupo o la idea que les está causando dolor.
[gold=amor | pred=tristeza] Me siento tan codicioso de vacaciones y olvidando mis responsabilidades.
[gold=alegría | pred=tristeza] Supongo que a veces me siento demasiado confiado.
[gold=alegría | pred=tristeza] Me siento orgulloso y feliz y también muy agradecido con todos los que me leen.
[gold=amor | pred=tristeza] me siento dolido por esto
[gold=alegría | pred=tristeza] Me siento un poco orgulloso
[gold=amor | pred=tristeza] Compro algo, salgo y miro qué más no compré y luego, después de comparar un poco aquí y allá, de repente me siento insatisfecho con mi compra.
[gold=amor | pred=tristeza] Me sentí muy ansioso. Esta canción sonó en la radio tan pronto como me subí al auto.
